run_id,timestamp,mode,seed,TOS_ENTRY_START_S,TOS_ENTRY_END_S,TOS_MIN_PROB,TOS_MIN_EDGE,TOS_MIN_LIQUIDITY,TOS_Z_THRESHOLD,TOS_MIN_VARIANCE_RATIO,MIN_EDGE_THRESHOLD,MIN_ENTRY_ASK,FV_ENTRY_MAX,FV_ENTRY_MIN,FV_STALE_MS,MIN_WINDOW_AGE_S,FILL_COOLDOWN_MS,PAPER_TRADE_SHARES,MAX_SHARES_PER_SIDE,MAX_SPEND_PER_MARKET,MAX_ENTRIES_PER_WINDOW,EARLY_HIGH_CONFIDENCE_BID,LATE_WINDOW_SECONDS,LATE_SL_FLOOR,LATE_TP_BID,EMERGENCY_SECONDS,EMERGENCY_CUT_PRICE,EMERGENCY_FV_CONFIRM,EMERGENCY_TP_BID,BTC_MOMENTUM_GATE,ORDERBOOK_IMBALANCE_GATE,SIGNAL_MIN_LIQUIDITY,filter_net_pnl,filter_roi,filter_win_rate,filter_sharpe,filter_drawdown,filter_trades,train_skipped,train_net_pnl,train_roi,train_win_rate,train_sharpe,train_drawdown,train_trades,val_net_pnl,val_roi,val_win_rate,val_sharpe,val_drawdown,val_trades,val_skipped,passed_validation,error
ed0150f4,2026-06-12T08:16:43.316263+00:00,bayesian,,190.0,270.0,0.65,0.12000000000000001,50.0,0.5,1.8,0.02,0.1,0.95,0.13,400.0,20.0,16000.0,5.0,10.0,8.0,5,0.9,100.0,0.05,0.8799999999999999,90.0,0.21000000000000002,0.4,0.8,2.0,40.0,45.0,21.65,0.2319,0.9412,0.5812,0.0,17,False,45.85,0.0967,0.8261,0.1769,0.0,92,34.45,0.1206,0.8545,0.2402,-7.85,55,False,False,
0be5aa8e,2026-06-12T08:21:40.793442+00:00,bayesian,,190.0,270.0,0.65,0.12000000000000001,50.0,0.4,1.9000000000000001,0.02,0.1,0.95,0.15,400.0,20.0,16000.0,5.0,10.0,8.0,5,0.9,100.0,0.05,0.8999999999999999,90.0,0.21000000000000002,0.4,0.8,2.25,30.0,50.0,11.35,0.1935,0.9231,0.3678,0.0,13,False,39.65,0.11,0.8194,0.2021,0.0,72,29.25,0.1268,0.8444,0.2496,-7.85,45,False,False,
3ed2d894,2026-06-12T08:26:36.367258+00:00,bayesian,,190.0,260.0,0.7,0.12000000000000001,50.0,0.3,1.9000000000000001,0.02,0.09000000000000001,0.95,0.13,500.0,20.0,14000.0,5.0,10.0,8.0,5,0.9,120.0,0.05,0.9199999999999999,90.0,0.21000000000000002,0.4,0.85,2.25,30.0,50.0,13.85,0.2265,0.9091,0.7702,0.0,11,False,16.95,0.0421,0.7568,0.072,0.0,74,42.55,0.1591,0.8776,0.3464,-7.85,49,False,True,
103121ba,2026-06-12T08:31:41.068490+00:00,bayesian,,180.0,260.0,0.7,0.11,60.0,0.3,1.9000000000000001,0.01,0.09000000000000001,0.95,0.11,500.0,160.0,14000.0,5.0,10.0,8.0,5,0.85,120.0,0.05,0.8999999999999999,80.0,0.21000000000000002,0.45,0.9,2.0,30.0,50.0,17.6,0.2136,0.9375,0.6511,0.0,16,False,20.0,0.04,0.7978,0.0716,0.0,89,36.65,0.1116,0.8421,0.2386,-7.85,57,False,False,
0fbac51d,2026-06-12T08:36:37.831830+00:00,bayesian,,180.0,260.0,0.8,0.11,60.0,0.4,1.9000000000000001,0.01,0.08,0.9299999999999999,0.09,600.0,140.0,9000.0,5.0,10.0,8.0,5,0.85,160.0,0.06,0.8999999999999999,80.0,0.18,0.45,0.9,2.0,30.0,50.0,17.5,0.2121,0.9375,0.6537,0.0,16,False,28.05,0.0553,0.8182,0.1007,0.0,88,28.9,0.0768,0.8333,0.1631,-7.85,60,False,False,
cd9f9067,2026-06-12T08:41:49.616201+00:00,bayesian,,170.0,250.0,0.85,0.1,40.0,0.4,1.8,0.01,0.06,0.9299999999999999,0.05,800.0,140.0,8000.0,5.0,10.0,8.0,5,0.85,160.0,0.06,0.8799999999999999,70.0,0.18,0.45,0.95,2.0,40.0,50.0,13.0,0.1066,0.9,0.2325,0.0,20,False,36.85,0.0499,0.8211,0.0924,0.0,123,49.05,0.0989,0.8875,0.2231,0.0,80,False,False,
f529ea90,2026-06-12T08:46:51.990324+00:00,bayesian,,160.0,250.0,0.8,0.12000000000000001,40.0,0.4,1.8,0.01,0.06,0.9299999999999999,0.05,800.0,120.0,8000.0,5.0,10.0,8.0,5,0.8,160.0,0.06,0.8999999999999999,70.0,0.18,0.45,0.95,2.0,40.0,50.0,12.4,0.1054,0.9,0.215,0.0,20,False,22.55,0.0323,0.7647,0.0548,0.0,119,37.05,0.0792,0.8533,0.1575,-3.85,75,False,False,
08ef588c,2026-06-12T08:51:50.181334+00:00,bayesian,,170.0,240.0,0.85,0.1,30.0,0.4,1.8,0.02,0.07,0.9299999999999999,0.05,800.0,140.0,6000.0,5.0,10.0,8.0,5,0.85,160.0,0.08,0.8799999999999999,80.0,0.16999999999999998,0.45,0.95,2.0,40.0,50.0,13.4,0.1149,0.8889,0.248,0.0,18,False,42.15,0.0587,0.8261,0.1106,0.0,115,46.5,0.0942,0.8846,0.2137,0.0,78,False,False,
62026392,2026-06-12T08:56:55.514858+00:00,bayesian,,170.0,240.0,0.85,0.1,40.0,0.4,1.8,0.01,0.06,0.9299999999999999,0.05,800.0,140.0,5000.0,5.0,10.0,8.0,5,0.85,160.0,0.09,0.8799999999999999,70.0,0.16999999999999998,0.45,0.95,2.0,40.0,50.0,12.5,0.1064,0.8889,0.2303,0.0,18,False,37.8,0.0535,0.8246,0.0995,0.0,114,54.3,0.1074,0.8846,0.2448,0.0,78,False,False,
6c8a6738,2026-06-12T09:01:57.078902+00:00,bayesian,,150.0,240.0,0.85,0.1,40.0,0.45,1.7000000000000002,0.03,0.04,0.95,0.05,900.0,140.0,1000.0,5.0,10.0,8.0,5,0.8,180.0,0.09,0.8799999999999999,70.0,0.16,0.45,0.95,2.0,50.0,50.0,22.85,0.1254,0.8889,0.2862,0.0,27,False,68.7,0.0679,0.8267,0.1304,0.0,150,13.95,0.0213,0.8125,0.0413,-14.35,96,False,False,
